English	English Meaning	English Example	Spanish	Pronunciation Hint	Spanish Meaning	Spanish Example	Spanish Meaning (English)	Spanish Example (English)	Spanish Article	Spanish Gender	Spanish Number	Spanish Part of Speech	Spanish Forms	Notes	Status	Source Deck	Source Card	Tags
facilitate	To facilitate something is to make it easier.	To facilitate the meeting, Melissa used a simple computer program.	facilitar	fa-si-li-TAR	Facilitar algo es hacerlo más fácil.	Para facilitar la reunión, Melissa utilizó un sencillo programa informático.	To facilitate something is to make it easier.	To facilitate the meeting, Melissa used a simple computer program.				verb	infinitive: facilitar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
fleet	A fleet is a group of ships.	The fleet of ships spent a few days at the dock.	la flota	la FLO-ta	Una flota es un grupo de barcos.	La flota de barcos pasó unos días en el muelle.	A fleet is a group of ships.	The fleet of ships spent a few days at the dock.	la	feminine	singular	noun	singular: la flota; plural: las flotas		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
grid	A grid is a pattern of squares with numbers and letters to find places on a map.	We located our town using the grid.	la cuadrícula	la kuad-RI-ku-la	Una cuadrícula es un patrón de cuadrados con números y letras para encontrar lugares en un mapa.	Ubicamos nuestro pueblo usando la grilla.	A grid is a pattern of squares with numbers and letters to find places on a map.	We located our town using the grid.	la	feminine	singular	noun	singular: la cuadrícula; plural: las cuadrículas		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
import	To import means to bring in a product from another country.	Foods that have been imported are usually more expensive.	importar	im-por-TAR	Importar significa traer un producto de otro país.	Los alimentos importados suelen ser más caros.	To import means to bring in a product from another country.	Foods that have been imported are usually more expensive.				verb	infinitive: importar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
infer	To infer something is to decide it is true based on other information one has.	By the position of the sun in the sky, she inferred that it was noon.	inferir	in-fe-RIR	Inferir algo es decidir que es cierto basándose en otra información que se tiene.	Por la posición del sol en el cielo, dedujo que era mediodía.	To infer something is to decide it is true based on other information one has.	By the position of the sun in the sky, she inferred that it was noon.				verb	infinitive: inferir; -ir pattern: yo -o; tú -es; él/ella -e; nosotros -imos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
inflate	To inflate something means to fill it up with air.	I helped him inflate the balloons.	inflar	in-FLAR	Inflar algo significa llenarlo de aire.	Le ayudé a inflar los globos.	To inflate something means to fill it up with air.	I helped him inflate the balloons.				verb	infinitive: inflar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
innate	When something is innate, it is something that one is born with and was not learned.	He had the innate desire to please his teachers.	innato	in-NA-to	Cuando algo es innato, es algo con lo que se nace y no se aprende.	Tenía el deseo innato de complacer a sus profesores.	When something is innate, it is something that one is born with and was not learned.	He had the innate desire to please his teachers.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
marble	Marble is a type of rock that feels cold and is smooth when cut.	The large house had floors made of marble.	el mármol	el MAR-mol	El mármol es un tipo de roca que se siente fría y queda suave al cortarse.	La casa grande tenía suelos de mármol.	Marble is a type of rock that feels cold and is smooth when cut.	The large house had floors made of marble.	el	masculine	singular	noun	singular: el mármol; plural: los marmoles		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
mast	A mast is a long pole on a ship that holds the sail.	The mast held both sails of the ship upright.	el mástil	el MAS-til	Un mástil es un palo largo de un barco que sostiene la vela.	El mástil mantenía erguidas ambas velas del barco.	A mast is a long pole on a ship that holds the sail.	The mast held both sails of the ship upright.	el	masculine	singular	noun	singular: el mástil; plural: los mastiles		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
nausea	Nausea is the feeling of being sick to your stomach.	The doctor said the medicine would help get rid of her nausea.	la náusea	la NAU-sea	Las náuseas son la sensación de malestar estomacal.	El médico dijo que el medicamento le ayudaría a aliviar las náuseas.	Nausea is the feeling of being sick to your stomach.	The doctor said the medicine would help get rid of her nausea.	la	feminine	singular	noun	singular: la náusea; plural: las náuseas		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
naval	When something is naval, it relates to a country’s navy or military ships.	The country sent all of its naval forces to protect them.	naval	na-BAL	Cuando algo es naval, se relaciona con la armada o los barcos militares de un país.	El país envió todas sus fuerzas navales para protegerlos.	When something is naval, it relates to a country’s navy or military ships.	The country sent all of its naval forces to protect them.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
pouch	A pouch is a small, flexible bag that is usually made of soft material.	I keep my money in a small pouch.	la bolsita	la bol-SI-ta	Una bolsa es una bolsa pequeña y flexible que suele estar hecha de un material blando.	Guardo mi dinero en una pequeña bolsa.	A pouch is a small, flexible bag that is usually made of soft material.	I keep my money in a small pouch.	la	feminine	singular	noun	singular: la bolsita; plural: las bolsitas		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
saturated	If something is saturated, it is completely wet.	Leigh’s hair became saturated in the rainstorm.	saturado	sa-tu-RA-do	Si algo está saturado, está completamente mojado.	El cabello de Leigh se saturó con la tormenta.	If something is saturated, it is completely wet.	Leigh’s hair became saturated in the rainstorm.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
update	An update is an act of making something more modern or current.	My phone is downloading a software update.	la actualización	la a-ktua-li-sa-SION	Una actualización es un acto de hacer algo más moderno o actual.	Mi teléfono está descargando una actualización de software.	An update is an act of making something more modern or current.	My phone is downloading a software update.	la	feminine	singular	noun	singular: la actualización; plural: las actualizaciones		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
attorney	An attorney is one who gives others advice about the law.	The attorney appeared in front of the judge for me.	el abogado	el a-bo-GA-do	Un abogado es aquel que da a otros consejos sobre la ley.	El abogado se presentó ante el juez por mí.	An attorney is one who gives others advice about the law.	The attorney appeared in front of the judge for me.	el	masculine	singular	noun	singular: el abogado; plural: los abogados		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
chronic	When something is chronic, it happens over and over again for a long time.	He had chronic pain in his chest and needed to see a doctor.	crónico	KRO-ni-ko	Cuando algo es crónico, sucede una y otra vez durante mucho tiempo.	Tenía dolor crónico en el pecho y necesitaba ver a un médico.	When something is chronic, it happens over and over again for a long time.	He had chronic pain in his chest and needed to see a doctor.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
discipline	Discipline is training that helps people follow the rules.	One of the teacher’s jobs is to teach her students discipline.	la disciplina	la dis-si-PLI-na	La disciplina es un entrenamiento que ayuda a las personas a seguir las reglas.	Uno de los trabajos de la maestra es enseñar disciplina a sus alumnos.	Discipline is training that helps people follow the rules.	One of the teacher’s jobs is to teach her students discipline.	la	feminine	singular	noun	singular: la disciplina; plural: las disciplinas		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
donor	A donor is somebody who gives something to an organization.	He was proud to be a blood donor.	donante	do-NAN-te	Un donante es alguien que dona algo a una organización.	Estaba orgulloso de ser donante de sangre.	A donor is somebody who gives something to an organization.	He was proud to be a blood donor.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
fellow	A fellow is someone who shares a job or quality with someone else.	All of my fellow patients at the hospital have also complained about the food.	el compañero	el kom-pa-NYE-ro	Un compañero es alguien que comparte un trabajo o una cualidad con otra persona.	Todos mis compañeros de hospital también se han quejado de la comida.	A fellow is someone who shares a job or quality with someone else.	All of my fellow patients at the hospital have also complained about the food.	el	masculine	singular	noun	singular: el compañero; plural: los compañeros		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
gossip	Gossip is information that might be untrue but is still discussed anyway.	The friends exchanged gossip about the people they knew in school.	chisme	ÇIS-me	El chisme es información que puede ser falsa pero que de todos modos se discute.	Los amigos intercambiaron chismes sobre las personas que conocían en la escuela.	Gossip is information that might be untrue but is still discussed anyway.	The friends exchanged gossip about the people they knew in school.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
graduate	To graduate from a school means to complete and pass all courses of study there.	At the end of the spring, my friends and I will graduate from high school.	graduar	gra-DUAR	Graduarse de una escuela significa completar y aprobar todos los cursos de estudio allí.	Al final de la primavera, mis amigos y yo nos graduaremos de la escuela secundaria.	To graduate from a school means to complete and pass all courses of study there.	At the end of the spring, my friends and I will graduate from high school.				verb	infinitive: graduar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
graffiti	Graffiti is words or drawings in public places.	The wall was covered with colorful graffiti.	grafiti	gra-FI-ti	Los graffiti son palabras o dibujos en lugares públicos.	La pared estaba cubierta de coloridos graffitis.	Graffiti is words or drawings in public places.	The wall was covered with colorful graffiti.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
guardian	A guardian is someone who protects somebody or something.	The librarians are the guardians of the books.	el guardián	el guar-DIAN	Un guardián es alguien que protege a alguien o algo.	Los bibliotecarios son los guardianes de los libros.	A guardian is someone who protects somebody or something.	The librarians are the guardians of the books.	el	masculine	singular	noun	singular: el guardián; plural: los guardianes		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
implicate	To implicate someone is to show that they have done a crime or something bad.	The man was implicated in the theft at the store.	implicar	im-pli-KAR	Implicar a alguien es demostrar que ha cometido un delito o algo malo.	El hombre estuvo implicado en el robo en la tienda.	To implicate someone is to show that they have done a crime or something bad.	The man was implicated in the theft at the store.				verb	infinitive: implicar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
kin	Kin is a person’s family and relatives.	His kin were all farmers.	los parientes	los pa-RIEN-tes	Los parientes son la familia de una persona.	Sus parientes eran todos agricultores.	Kin is a person’s family and relatives.	His kin were all farmers.	los	masculine	plural	noun	singular: el parient; plural: los parientes		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
referee	A referee is a person who makes sure that the rules are followed in sports.	The soccer player didn’t agree with the referee.	el árbitro	el AR-bi-tro	Un árbitro es una persona que se asegura de que se sigan las reglas en los deportes.	El futbolista no estuvo de acuerdo con el árbitro.	A referee is a person who makes sure that the rules are followed in sports.	The soccer player didn’t agree with the referee.	el	masculine	singular	noun	singular: el árbitro; plural: los árbitros		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
sever	To sever something is to cut through it completely.	He severed the string using scissors.	cortar	kor-TAR	Cortar algo es cortarlo por completo.	Cortó la cuerda con unas tijeras.	To sever something is to cut through it completely.	He severed the string using scissors.				verb	infinitive: cortar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
shaft	A shaft is a handle of a tool or weapon.	The golf club had a long wooden shaft that he held in his hands.	el mango	el MAN-go	Un eje es el mango de una herramienta o arma.	El palo de golf tenía un largo eje de madera que sostenía en sus manos.	A shaft is a handle of a tool or weapon.	The golf club had a long wooden shaft that he held in his hands.	el	masculine	singular	noun	singular: el mango; plural: los mangos		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
stab	To stab means to cut with the end of a sharp object like a knife.	He stabbed the fork into the potato and passed it to his daughter.	apuñalar	a-pu-nya-LAR	Apuñalar significa cortar con la punta de un objeto punzante como un cuchillo.	Clavó el tenedor en la papa y se la pasó a su hija.	To stab means to cut with the end of a sharp object like a knife.	He stabbed the fork into the potato and passed it to his daughter.				verb	infinitive: apuñalar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
stimulus	A stimulus is something that causes growth or activity.	Having a lot of money is a stimulus for people to buy more things.	el estímulo	el es-TI-mu-lo	Un estímulo es algo que provoca crecimiento o actividad.	Tener mucho dinero es un estímulo para que la gente compre más cosas.	A stimulus is something that causes growth or activity.	Having a lot of money is a stimulus for people to buy more things.	el	masculine	singular	noun	singular: el estímulo; plural: los estímulos		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
suspicion	A suspicion is a feeling that something is possible or true in a crime.	The police had a suspicion that the driver had stolen the purse.	la sospecha	la sos-PE-ça	Una sospecha es un sentimiento de que algo es posible o cierto en un delito.	La policía sospechaba que el conductor había robado el bolso.	A suspicion is a feeling that something is possible or true in a crime.	The police had a suspicion that the driver had stolen the purse.	la	feminine	singular	noun	singular: la sospecha; plural: las sospechas		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
terminate	To terminate something means to stop or end it.	The trip was terminated after the car broke down.	terminar	ter-mi-NAR	Terminar algo significa detenerlo o terminarlo.	El viaje terminó después de que el coche se averiara.	To terminate something means to stop or end it.	The trip was terminated after the car broke down.				verb	infinitive: terminar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
theme	A theme is the main subject of a book, movie, or painting.	The students discussed the book’s theme in class.	el tema	el TE-ma	Un tema es el asunto principal de un libro, película o pintura.	Los estudiantes discutieron el tema del libro en clase.	A theme is the main subject of a book, movie, or painting.	The students discussed the book’s theme in class.	el	masculine	singular	noun	singular: el tema; plural: los temas		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
tuition	Tuition is the amount of money paid to go to a school.	University tuitions have increased by 50 percent in the last five years.	la matrícula	la ma-TRI-ku-la	La matrícula es la cantidad de dinero que se paga para ir a una escuela.	Las matrículas universitarias han aumentado un 50 por ciento en los últimos cinco años.	Tuition is the amount of money paid to go to a school.	University tuitions have increased by 50 percent in the last five years.	la	feminine	singular	noun	singular: la matrícula; plural: las matrículas		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
aggressive	If someone is aggressive, then they constantly want to fight or argue.	Nobody liked to play games with him because he was always too aggressive.	agresivo	a-gre-SI-bo	Si alguien es agresivo, constantemente quiere pelear o discutir.	A nadie le gustaba jugar con él porque siempre era demasiado agresivo.	If someone is aggressive, then they constantly want to fight or argue.	Nobody liked to play games with him because he was always too aggressive.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
amnesty	Amnesty is a pardon given to prisoners of war.	She was denied amnesty for her involvement in the war.	la amnistía	la am-nis-TIA	La amnistía es un indulto otorgado a los prisioneros de guerra.	Se le negó la amnistía por su participación en la guerra.	Amnesty is a pardon given to prisoners of war.	She was denied amnesty for her involvement in the war.	la	feminine	singular	noun	singular: la amnistía; plural: las amnistías		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
arena	An arena is a building where people can watch sports and concerts.	The new arena was all set to hold the championship match.	el estadio	el es-TA-dio	Un estadio es un edificio donde la gente puede ver deportes y conciertos.	El nuevo estadio estaba listo para albergar el partido por el campeonato.	An arena is a building where people can watch sports and concerts.	The new arena was all set to hold the championship match.	el	masculine	singular	noun	singular: el estadio; plural: los estadios		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
auditorium	An auditorium is a large building used for public events.	People have gathered at the school auditorium to watch the play.	el auditorio	el au-di-TO-rio	Un auditorio es un gran edificio utilizado para eventos públicos.	La gente se ha reunido en el auditorio del colegio para ver la obra.	An auditorium is a large building used for public events.	People have gathered at the school auditorium to watch the play.	el	masculine	singular	noun	singular: el auditorio; plural: los auditorios		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
captive	A captive is a prisoner.	The guards told the captive that there was no way he could escape the prison.	el cautivo	el kau-TI-bo	Un cautivo es un prisionero.	Los guardias le dijeron al cautivo que no había manera de que pudiera escapar de la prisión.	A captive is a prisoner.	The guards told the captive that there was no way he could escape the prison.	el	masculine	singular	noun	singular: el cautivo; plural: los cautivos		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
combat	Combat is fighting between two people or groups.	The two warriors were locked in combat.	combate	kom-BA-te	El combate es una pelea entre dos personas o grupos.	Los dos guerreros estaban trabados en combate.	Combat is fighting between two people or groups.	The two warriors were locked in combat.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
commonplace	If something is commonplace, then it is ordinary.	There is nothing commonplace about the way Morris dresses.	común	ko-MUN	Si algo es común, entonces es ordinario.	No hay nada común en la forma de vestir de Morris.	If something is commonplace, then it is ordinary.	There is nothing commonplace about the way Morris dresses.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
compound	A compound is an enclosed area such as a prison or factory.	The workers waited outside the compound for the gates of the factory to open.	el recinto	el re-SIN-to	Un recinto es un área cerrada como una prisión o una fábrica.	Los trabajadores esperaron afuera del recinto a que se abrieran las puertas de la fábrica.	A compound is an enclosed area such as a prison or factory.	The workers waited outside the compound for the gates of the factory to open.	el	masculine	singular	noun	singular: el recinto; plural: los recintos		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
corps	A corps is a division of a military force.	The army had a corps of archers who trained apart from the regular soldiers.	el cuerpo	el KUER-po	Un cuerpo es una división de una fuerza militar.	El ejército contaba con un cuerpo de arqueros que entrenaban aparte de los soldados regulares.	A corps is a division of a military force.	The army had a corps of archers who trained apart from the regular soldiers.	el	masculine	singular	noun	singular: el cuerpo; plural: los cuerpos		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
distract	To distract someone means to stop them from concentrating on something.	The phone call distracted him so much that he forgot all about his homework.	distraer	dis-TRAER	Distraer a alguien significa impedir que se concentre en algo.	La llamada telefónica lo distrajo tanto que se olvidó por completo de su tarea.	To distract someone means to stop them from concentrating on something.	The phone call distracted him so much that he forgot all about his homework.				verb	infinitive: distraer; -er pattern: yo -o; tú -es; él/ella -e; nosotros -emos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
dumb	If someone is dumb, they are unable to speak.	She did not share the secret. She remained as silent as if she were dumb.	mudo	MU-do	Si alguien es tonto, no puede hablar.	Ella no compartió el secreto. Ella permaneció tan silenciosa como si fuera tonta.	If someone is dumb, they are unable to speak.	She did not share the secret. She remained as silent as if she were dumb.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
foe	A foe is an enemy or opponent.	It was hard to believe that anyone could be his foe.	el enemigo	el e-ne-MI-go	Un enemigo es un enemigo u oponente.	Era difícil creer que alguien pudiera ser su enemigo.	A foe is an enemy or opponent.	It was hard to believe that anyone could be his foe.	el	masculine	singular	noun	singular: el enemigo; plural: los enemigos		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
hack	To hack something means to cut it into uneven pieces.	My uncle used the ax to hack the tree into many logs.	hender	en-DER	Hackear algo significa cortarlo en pedazos desiguales.	Mi tío usó el hacha para cortar el árbol en muchos troncos.	To hack something means to cut it into uneven pieces.	My uncle used the ax to hack the tree into many logs.				verb	infinitive: hender; -er pattern: yo -o; tú -es; él/ella -e; nosotros -emos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
meditate	To meditate means to focus or think deeply in silence.	She liked to meditate for several hours each day.	meditar	me-di-TAR	Meditar significa concentrarse o pensar profundamente en silencio.	Le gustaba meditar durante varias horas cada día.	To meditate means to focus or think deeply in silence.	She liked to meditate for several hours each day.				verb	infinitive: meditar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
nick	To nick something or someone means to cut them slightly with a sharp object.	While cutting the carrots, the cook nicked his finger with the edge of his knife.	cortar	kor-TAR	Cortar algo o a alguien significa cortarlo ligeramente con un objeto punzante.	Mientras cortaba las zanahorias, el cocinero se cortó el dedo con el filo del cuchillo.	To nick something or someone means to cut them slightly with a sharp object.	While cutting the carrots, the cook nicked his finger with the edge of his knife.				verb	infinitive: cortar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
provoke	To provoke someone means to annoy them on purpose to cause violence.	The older boy provoked Paul by calling him mean names.	provocar	pro-bo-KAR	Provocar a alguien significa molestarlo a propósito para provocar violencia.	El niño mayor provocó a Paul llamándolo con nombres desagradables.	To provoke someone means to annoy them on purpose to cause violence.	The older boy provoked Paul by calling him mean names.				verb	infinitive: provocar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
realm	A realm is any area of activity or interest.	He was not very active in the realm of business.	el ámbito	el AM-bi-to	Un reino es cualquier área de actividad o interés.	No fue muy activo en el ámbito de los negocios.	A realm is any area of activity or interest.	He was not very active in the realm of business.	el	masculine	singular	noun	singular: el ámbito; plural: los ámbitos		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
reign	A reign is the period of time in which a ruler rules.	The emperor’s reign lasted for only two years.	el reinado	el rei-NA-do	Un reinado es el período de tiempo en el que gobierna un gobernante.	El reinado del emperador duró sólo dos años.	A reign is the period of time in which a ruler rules.	The emperor’s reign lasted for only two years.	el	masculine	singular	noun	singular: el reinado; plural: los reinados		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
rust	Rust is a red and brown coating on iron objects caused by water and air.	The old metal gate would not swing because the hinges were covered in rust.	el óxido	el O-xi-do	El óxido es una capa roja y marrón sobre los objetos de hierro causada por el agua y el aire.	La vieja puerta de metal no se abría porque las bisagras estaban cubiertas de óxido.	Rust is a red and brown coating on iron objects caused by water and air.	The old metal gate would not swing because the hinges were covered in rust.	el	masculine	singular	noun	singular: el óxido; plural: los óxidos		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
sacred	If something is sacred, then it is worshipped and respected.	One religion in India will not harm cows because it believes that they are sacred.	sagrado	sa-GRA-do	Si algo es sagrado, entonces es adorado y respetado.	Una religión en la India no daña a las vacas porque cree que son sagradas.	If something is sacred, then it is worshipped and respected.	One religion in India will not harm cows because it believes that they are sacred.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
aesthetic	If something is aesthetic, then it is concerned with a love of beauty.	The dresses were noteworthy for their aesthetic design.	estético	es-TE-ti-ko	Si algo es estético, entonces tiene que ver con el amor por la belleza.	Los vestidos destacaron por su diseño estético.	If something is aesthetic, then it is concerned with a love of beauty.	The dresses were noteworthy for their aesthetic design.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
arrogant	If someone is arrogant, they think that they are more important than others.	He is very arrogant. Even though he’s not the boss, he tells everyone what to do.	arrogante	ar-ro-GAN-te	Si alguien es arrogante, piensa que es más importante que los demás.	Es muy arrogante. Aunque no es el jefe, les dice a todos qué hacer.	If someone is arrogant, they think that they are more important than others.	He is very arrogant. Even though he’s not the boss, he tells everyone what to do.							reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
bias	A bias is a person’s likelihood to like one thing more than another thing.	The mothers had a natural bias for their own child’s picture.	el sesgo	el SES-go	Un sesgo es la probabilidad de que a una persona le guste una cosa más que otra.	Las madres tenían una predilección natural por la imagen de sus propios hijos.	A bias is a person’s likelihood to like one thing more than another thing.	The mothers had a natural bias for their own child’s picture.	el	masculine	singular	noun	singular: el sesgo; plural: los sesgos		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
canyon	A canyon is a narrow valley with steep walls through which a river often flows.	The canyon was so deep that the ground inside was covered in shadow.	el cañón	el ka-NYON	Un cañón es un valle estrecho con paredes empinadas a través del cual a menudo fluye un río.	El cañón era tan profundo que el suelo del interior estaba cubierto de sombras.	A canyon is a narrow valley with steep walls through which a river often flows.	The canyon was so deep that the ground inside was covered in shadow.	el	masculine	singular	noun	singular: el cañón; plural: los cañones		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
creek	A creek is a stream or small river.	Only small fish lived in the shallow waters of the creek.	el arroyo	el ar-RO-yo	Un arroyo es un arroyo o río pequeño.	En las aguas poco profundas del arroyo sólo vivían peces pequeños.	A creek is a stream or small river.	Only small fish lived in the shallow waters of the creek.	el	masculine	singular	noun	singular: el arroyo; plural: los arroyos		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
drill	A drill is a tool with a point that spins in order to make a hole.	The carpenter used the drill to make several holes in the wood.	el taladro	el ta-LAD-ro	Un taladro es una herramienta con una punta que gira para hacer un agujero.	El carpintero utilizó el taladro para hacer varios agujeros en la madera.	A drill is a tool with a point that spins in order to make a hole.	The carpenter used the drill to make several holes in the wood.	el	masculine	singular	noun	singular: el taladro; plural: los taladros		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
executive	An executive is the top manager of a business.	After twenty years at the company, he finally became the executive.	el ejecutivo	el e-he-ku-TI-bo	Un ejecutivo es el máximo directivo de una empresa.	Después de veinte años en la empresa, finalmente se convirtió en ejecutivo.	An executive is the top manager of a business.	After twenty years at the company, he finally became the executive.	el	masculine	singular	noun	singular: el ejecutivo; plural: los ejecutivos		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
fatigue	Fatigue is a feeling of extreme tiredness.	After three days with little sleep, she was feeling a lot of fatigue.	la fatiga	la fa-TI-ga	La fatiga es una sensación de cansancio extremo.	Después de tres días sin dormir, sentía mucho cansancio.	Fatigue is a feeling of extreme tiredness.	After three days with little sleep, she was feeling a lot of fatigue.	la	feminine	singular	noun	singular: la fatiga; plural: las fatigas		reviewed	4000 Essential English Words::6.Book		spanish from_4000_english 4000_essential_english_words_6_book reviewed
